---,SideL_Tag,SideR_Tag,Ground_Tag,Side,BR,BL,B,L,R,OccupiedCells,Exits,RailClassRef,Diff_Base
BP_Start_F_X1_Y1_Z1_Rail,Side,None,StartHole,/Script/Engine.StaticMesh'/Game/Item/Rail/Start/F/Normal/Start_F_X1_Y1_Z1/Proxy/SM_Start_F_X1_Y1_Z1_Proxy_Side.SM_Start_F_X1_Y1_Z1_Proxy_Side',None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Start/F/Normal/Start_F_X1_Y1_Z1/Proxy/SM_Start_F_X1_Y1_Z1_Proxy_B.SM_Start_F_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Start/F/Normal/Start_F_X1_Y1_Z1/BP_Start_F_X1_Y1_Z1_Rail.BP_Start_F_X1_Y1_Z1_Rail_C',0
BP_CheckPoint_F_X1_Y1_Z1_Rail,Side,None,CheckHole,/Script/Engine.StaticMesh'/Game/Item/Rail/CheckPoint/F/Normal/CheckPoint_F_X1_Y1_Z1/Proxy/SM_CheckPoint_F_X1_Y1_Z1_Proxy_Side.SM_CheckPoint_F_X1_Y1_Z1_Proxy_Side',None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/CheckPoint/F/Normal/CheckPoint_F_X1_Y1_Z1/Proxy/SM_CheckPoint_F_X1_Y1_Z1_Proxy_B.SM_CheckPoint_F_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/CheckPoint/F/Normal/CheckPoint_F_X1_Y1_Z1/BP_CheckPoint_F_X1_Y1_Z1_Rail.BP_CheckPoint_F_X1_Y1_Z1_Rail_C',0
BP_End_F_X1_Y1_Z1_Rail,Side,None,EndHole,/Script/Engine.StaticMesh'/Game/Item/Rail/End/F/Normal/End_F_X1_Y1_Z1/Proxy/SM_End_F_X1_Y1_Z1_Proxy_Side.SM_End_F_X1_Y1_Z1_Proxy_Side',None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/End/F/Normal/End_F_X1_Y1_Z1/Proxy/SM_End_F_X1_Y1_Z1_Proxy_B.SM_End_F_X1_Y1_Z1_Proxy_B',None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/End/F/Normal/End_F_X1_Y1_Z1/BP_End_F_X1_Y1_Z1_Rail.BP_End_F_X1_Y1_Z1_Rail_C',0
BP_Blank_F_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,4
BP_Blank_L90_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=-1,Z=0),Rotation=(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,4
BP_Blank_R90_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=1,Z=0),Rotation=(Pitch=0.000000,Yaw=90.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,4
BP_Blank_U90_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=0,Z=1),Rotation=(Pitch=90.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,4.5
BP_Blank_D90_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=0,Y=0,Z=-1),Rotation=(Pitch=-90.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,6
BP_Blank_FD_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,None,None,None,"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",None,5.5
BP_Straight_F_X1_Y1_Z1_Rail,Side,Side,GroundLine,None,None,None,/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_B.SM_Straight_F_X1_Y1_Z1_Proxy_B',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_L.SM_Straight_F_X1_Y1_Z1_Proxy_L',/Script/Engine.StaticMesh'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/Proxy/SM_Straight_F_X1_Y1_Z1_Proxy_R.SM_Straight_F_X1_Y1_Z1_Proxy_R',"((X=0,Y=0,Z=0))","((ExitIndex=0,Location=(X=1,Y=0,Z=0),Rotation=(Pitch=0.000000,Yaw=0.000000,Roll=0.000000),DefaultSpin="""",SpinConfig=(S0=(Enable=True,Difficulty=1.000000),S90=(Enable=True,Difficulty=1.500000),S180=(Enable=True,Difficulty=1.500000),S270=(Enable=True,Difficulty=1.500000))))",/Script/Engine.BlueprintGeneratedClass'/Game/Item/Rail/Straight/F/Normal/Straight_F_X1_Y1_Z1/BP_Straight_F_X1_Y1_Z1_Rail.BP_Straight_F_X1_Y1_Z1_Rail_C',0
